verb	verb_present	verb_past
Indianise	Indianises	Indianised
Indianize	Indianizes	Indianized
Instagram	Instagrams	Instagrammed
Iranianise	Iranianises	Iranianised
Iranianize	Iranianizes	Iranianized
Iranify	Iranifies	Iranified
Islamicize	Islamicizes	Islamicized
Islamise	Islamises	Islamised
Islamize	Islamizes	Islamized
Italianate	Italianates	Italianated
Italianise	Italianises	Italianised
Italianize	Italianizes	Italianized
JIT	JITs	JITed
Jacuzzi	Jacuzzis	Jacuzzied
Jew	Jews	Jewed
Jordanianize	Jordanianizes	Jordanianized
Joss	Josses	Jossed
Judaize	Judaizes	Judaized
KO	KO's	KO'd
Kenyanize	Kenyanizes	Kenyanized
Koranize	Koranizes	Koranized
LARP	LARPs	LARPed
LOL	LOLs	LOLed
Latinise	Latinises	Latinised
Latinize	Latinizes	Latinized
Lazarus	Lazaruses	Lazarused
Leeroy	Leeroys	Leeroyed
Lewinsky	Lewinskys	Lewinskyed
Libyanize	Libyanizes	Libyanized
Limehouse	Limehouses	Limehoused
LoC	LoCs	LoCed
Lojbanize	Lojbanizes	Lojbanized
Londonize	Londonizes	Londonized
MEDEVAC	MEDEVACs	MEDEVACed
MST	MSTs	MSTed
MacGyver	MacGyvers	MacGyvered
Mahometanize	Mahometanizes	Mahometanized
Malayise	Malayises	Malayised
Malayize	Malayizes	Malayized
Maorify	Maorifies	Maorified
Marmite	Marmites	Marmited
Martinize	Martinizes	Martinized
McDonaldize	McDonaldizes	McDonaldized
Meccanize	Meccanizes	Meccanized
Medise	Medises	Medised
Mediterraneanise	Mediterraneanises	Mediterraneanised
Mediterraneanize	Mediterraneanizes	Mediterraneanized
Medize	Medizes	Medized
Mexicanize	Mexicanizes	Mexicanized
MiST	MiSTs	MiSTed
Micawber	Micawbers	Micawbered
Microsoft	Microsofts	Microsofted
Microsoftify	Microsoftifies	Microsoftified
Miranda	Mirandas	Mirandaed
Mirandize	Mirandizes	Mirandized
Mohammedanize	Mohammedanizes	Mohammedanized
Mondayize	Mondayizes	Mondayized
Mormonise	Mormonises	Mormonised
Mormonize	Mormonizes	Mormonized
Moroccanise	Moroccanises	Moroccanised
Moroccanize	Moroccanizes	Moroccanized
Moslemise	Moslemises	Moslemised
Moslemize	Moslemizes	Moslemized
Muhammadanize	Muhammadanizes	Muhammadanized
Muslim	Muslims	Muslimed
Muslimify	Muslimifies	Muslimified
Muslimise	Muslimises	Muslimised
Muslimize	Muslimizes	Muslimized
Nance	Nances	Nanced
Nazify	Nazifies	Nazified
Nifong	Nifongs	Nifonged
Norwegianize	Norwegianizes	Norwegianized
OCR	OCRs	OCRed
OK	OKs	OKed
Omanise	Omanises	Omanised
Omanize	Omanizes	Omanized
Orientalise	Orientalises	Orientalised
Orientalize	Orientalizes	Orientalized
Ottomanize	Ottomanizes	Ottomanized
PC	PCs	PCed
PCR	PCRs	PCRed
PDF	PDFs	PDFed
PEGylate	PEGylates	PEGylated
PM	PMs	PMed
PMS	PMSes	PMSed
Palestinianise	Palestinianises	Palestinianised
Palestinianize	Palestinianizes	Palestinianized
Polonise	Polonises	Polonised
Polonize	Polonizes	Polonized
PowerPoint	PowerPoints	PowerPointed
Pythagorize	Pythagorizes	Pythagorized
Qatarize	Qatarizes	Qatarized
Quranize	Quranizes	Quranized
RSVP	RSVPs	RSVPed
RV	RVs	RVed
Romanianize	Romanianizes	Romanianized
Romanize	Romanizes	Romanized
Roneo	Roneos	Roneoed
Russianise	Russianises	Russianised
Russianize	Russianizes	Russianized
Russify	Russifies	Russified
SMS	SMSes	SMSed
SPAD	SPADs	SPADed
SUMOylate	SUMOylates	SUMOylated
Sadducize	Sadducizes	Sadducized
Salafize	Salafizes	Salafized
Sanskritise	Sanskritises	Sanskritised
Sanskritize	Sanskritizes	Sanskritized
Satanize	Satanizes	Satanized
Scotchgard	Scotchgards	Scotchgarded
Scotticize	Scotticizes	Scotticized
Segway	Segways	Segwayed
Septembrise	Septembrises	Septembrised
Septembrize	Septembrizes	Septembrized
Sheetrock	Sheetrocks	Sheetrocked
Sherlock	Sherlocks	Sherlocked
Shi'ify	Shi'ifies	Shi'ified
Shi'itize	Shi'itizes	Shi'itized
Shiitize	Shiitizes	Shiitized
Skype	Skypes	Skyped
Socinianize	Socinianizes	Socinianized
Somalize	Somalizes	Somalized
Sovietize	Sovietizes	Sovietized
Stalinize	Stalinizes	Stalinized
Sudanize	Sudanizes	Sudanized
Sufize	Sufizes	Sufized
Sunnify	Sunnifies	Sunnified
Sunnise	Sunnises	Sunnised
Sunnitise	Sunnitises	Sunnitised
Sunnitize	Sunnitizes	Sunnitized
Sunnize	Sunnizes	Sunnized
Syrianize	Syrianizes	Syrianized
TAS	TASes	TASed
TUPE	TUPEs	TUPEd
Talibanize	Talibanizes	Talibanized
Teutonicise	Teutonicises	Teutonicised
Teutonicize	Teutonicizes	Teutonicized
Texasize	Texasizes	Texasized
Thaify	Thaifies	Thaified
Thatcherise	Thatcherises	Thatcherised
Thatcherize	Thatcherizes	Thatcherized
Timonise	Timonises	Timonised
Timonize	Timonizes	Timonized
Tunisianize	Tunisianizes	Tunisianized
Turkify	Turkifies	Turkified
Twitter	Twitters	Twittered
Tylerize	Tylerizes	Tylerized
Tyndallize	Tyndallizes	Tyndallized
UL	ULs	ULed
Ukrainianise	Ukrainianises	Ukrainianised
Ukrainianize	Ukrainianizes	Ukrainianized
Velcro	Velcros	Velcroed
Wiccanize	Wiccanizes	Wiccanized
Wikipedia	Wikipedias	Wikipediaed
Winsorise	Winsorises	Winsorised
Winsorize	Winsorizes	Winsorized
XOR	XORs	XORed
XXX	XXXes	XXXed
Yankee	Yankees	Yankeed
Yiddishize	Yiddishizes	Yiddishized
YouTube	YouTubes	YouTubed
Zionise	Zionises	Zionised
Zionize	Zionizes	Zionized
Zuluise	Zuluises	Zuluised
Zuluize	Zuluizes	Zuluized
a	-	-
aah	aahs	aahed
abacinate	abacinates	abacinated
abalienate	abalienates	abalienated
aband	abands	abanded
abandon	abandons	abandoned
abase	abases	abased
abash	abashes	abashed
abastard	abastards	abastarded
abastardise	abastardises	abastardised
abastardize	abastardizes	abastardized
abate	abates	abated
abbreviate	abbreviates	abbreviated
abdicate	abdicates	abdicated
abduce	abduces	abduced
abduct	abducts	abducted
abear	abears	abore
abegge	abegges	abegged
abelianise	abelianises	abelianised
abelianize	abelianizes	abelianized
abend	abends	abended
aber	abers	abered
aberr	aberrs	aberred
aberrate	aberrates	aberrated
aberuncate	aberuncates	aberuncated
abet	abets	abetted
abhor	abhors	abhorred
abhour	abhours	abhoured
abide	abides	abode
abirritate	abirritates	abirritated
abite	abites	abit
abject	abjects	abjected
abjoint	abjoints	abjointed
abjudge	abjudges	abjudged
abjudicate	abjudicates	abjudicated
abjugate	abjugates	abjugated
abjure	abjures	abjured
ablactate	ablactates	ablactated
ablaqueate	ablaqueates	ablaqueated
ablate	ablates	ablated
ablaut	ablauts	ablauted
able	ables	abled
ablegate	ablegates	ablegated
abligate	abligates	abligated
ablude	abludes	abluded
ablute	ablutes	abluted
abnegate	abnegates	abnegated
abnormalise	abnormalises	abnormalised
abnormalize	abnormalizes	abnormalized
abode	abodes	aboded
abolish	abolishes	abolished
abolitionise	abolitionises	abolitionised
abolitionize	abolitionizes	abolitionized
abominate	abominates	abominated
abomine	abomines	abomined
abord	abords	aborded
abort	aborts	aborted
abortive	abortives	abortived
abound	abounds	abounded
abrade	abrades	abraded
abraid	abraids	abraided
abrase	abrases	abrased
abray	abrays	abrayed
abreact	abreacts	abreacted
abrenounce	abrenounces	abrenounced
abridge	abridges	abridged
abroach	abroaches	abroached
abrogate	abrogates	abrogated
abrook	abrooks	abrooked
abrupt	abrupts	abrupted
abscess	abscesses	abscessed
abscind	abscinds	abscinded
abscise	abscises	abscised
absciss	abscisses	abscissed
abscond	absconds	absconded
abseil	abseils	abseiled
absent	absents	absented
absinthiate	absinthiates	absinthiated
absist	absists	absisted
absolutise	absolutises	absolutised
absolutize	absolutizes	absolutized
absolve	absolves	absolved
absorb	absorbs	absorbed
absquatulate	absquatulates	absquatulated
abstain	abstains	abstained
absterge	absterges	absterged
absterse	absterses	abstersed
abstract	abstracts	abstracted
abstractify	abstractifies	abstractified
abstrict	abstricts	abstricted
abstringe	abstringes	abstringed
abstrude	abstrudes	abstruded
absume	absumes	absumed
abuse	abuses	abused
abut	abuts	abutted
abutt	abutts	abutted
abuy	abuys	abought
abvolate	abvolates	abvolated
aby	abys	abought
abye	abyes	abought
academicise	academicises	academicised
academicize	academicizes	academicized
academise	academises	academised
academize	academizes	academized
accede	accedes	acceded
acceed	acceeds	acceeded
accelerate	accelerates	accelerated
accend	accends	accended
accent	accents	accented
accentuate	accentuates	accentuated
accept	accepts	accepted
access	accesses	accessed
accession	accessions	accessioned
accessorise	accessorises	accessorised
accessorize	accessorizes	accessorized
accinge	accinges	accinged
accite	accites	accited
acclaim	acclaims	acclaimed
acclamate	acclamates	acclamated
acclimate	acclimates	acclimated
acclimatise	acclimatises	acclimatised
acclimatize	acclimatizes	acclimatized
accloy	accloys	accloyed
accoast	accoasts	accoasted
accoil	accoils	accoiled
accolade	accolades	accoladed
accoll	accolls	accolled
accommodate	accommodates	accommodated
accompany	accompanies	accompanied
accompass	accompasses	accompassed
accomplish	accomplishes	accomplished
accompt	accompts	accompted
accord	accords	accorded
accordion	accordions	accordioned
accost	accosts	accosted
accouche	accouches	accouched
account	accounts	accounted
accouple	accouples	accoupled
accourage	accourages	accouraged
accourt	accourts	accourted
accouter	accouters	accoutered
accoutre	accoutres	accoutred
accoy	accoys	accoyed
accrease	accreases	accreased
accredit	accredits	accredited
accresce	accresces	accresced
accrete	accretes	accreted
accriminate	accriminates	accriminated
accroach	accroaches	accroached
accrue	accrues	accrued
acculturate	acculturates	acculturated
acculture	accultures	accultured
accumber	accumbers	accumbered
accuminate	accuminates	accuminated
accumulate	accumulates	accumulated
accurise	accurises	accurised
accurize	accurizes	accurized
accurse	accurses	accursed
accuse	accuses	accused
accustom	accustoms	accustomed
accustomise	accustomises	accustomised
accustomize	accustomizes	accustomized
ace	aces	aced
acerbate	acerbates	acerbated
acervate	acervates	acervated
acetalise	acetalises	acetalised
acetalize	acetalizes	acetalized
acetify	acetifies	acetified
acetise	acetises	acetised
acetize	acetizes	acetized
acetylate	acetylates	acetylated
ache	aches	ached
achieve	achieves	achieved
achromatise	achromatises	achromatised
achromatize	achromatizes	achromatized
acidify	acidifies	acidified
acidise	acidises	acidised
acidize	acidizes	acidized
acidulate	acidulates	acidulated
acierate	acierates	acierated
acknow	acknows	acknew
acknowledge	acknowledges	acknowledged
acquaint	acquaints	acquainted
acquiesce	acquiesces	acquiesced
acquiet	acquiets	acquieted
acquihire	acquihires	acquihired
acquire	acquires	acquired
acquit	acquits	acquitted
acquittance	acquittances	acquittanced
acraze	acrazes	acrazed
acronymise	acronymises	acronymised
acronymize	acronymizes	acronymized
acrospire	acrospires	acrospired
act	acts	acted
action	actions	actioned
actionize	actionizes	actionized
activate	activates	activated
actualise	actualises	actualised
actualize	actualizes	actualized
actuate	actuates	actuated
acuate	acuates	acuated
acuminate	acuminates	acuminated
acupunctuate	acupunctuates	acupunctuated
acupuncture	acupunctures	acupunctured
acute	acutes	acuted
acylate	acylates	acylated
adapt	adapts	adapted
adaunt	adaunts	adaunted
adaw	adaws	adawed
add	adds	added
addeem	addeems	addeemed
addend	addends	addended
addict	addicts	addicted
addle	addles	addled
addoom	addooms	addoomed
address	addresses	addressed
adduce	adduces	adduced
adduct	adducts	adducted
addulce	addulces	addulced
adeem	adeems	adeemed
adempt	adempts	adempted
adenylate	adenylates	adenylated
adequate	adequates	adequated
adhere	adheres	adhered
adhibit	adhibits	adhibited
adhort	adhorts	adhorted
adhære	adhæres	adhæred
adight	adights	adighted
adipocerate	adipocerates	adipocerated
adject	adjects	adjected
adjective	adjectives	adjectived
adjectivise	adjectivises	adjectivised
adjectivize	adjectivizes	adjectivized
adjoin	adjoins	adjoined
adjourn	adjourns	adjourned
adjudg	adjudges	adjudged
adjudge	adjudges	adjudged
adjudicate	adjudicates	adjudicated
adjugate	adjugates	adjugated
adjure	adjures	adjured
adjust	adjusts	adjusted
adjute	adjutes	adjuted
adjuvate	adjuvates	adjuvated
adlect	adlects	adlected
adlib	adlibs	adlibbed
admarginate	admarginates	admarginated
admeasure	admeasures	admeasured
admier	admiers	admiered
admin	admins	admined
administer	administers	administered
administrate	administrates	administrated
administre	administres	administred
admire	admires	admired
admit	admits	admitted
admix	admixes	admixed
admonish	admonishes	admonished
admove	admoves	admoved
admynistre	admynistres	admynistred
adnominalise	adnominalises	adnominalised
adnominalize	adnominalizes	adnominalized
adolesce	adolesces	adolesced
adonize	adonizes	adonized
adopt	adopts	adopted
adorate	adorates	adorated
adore	adores	adored
adorn	adorns	adorned
adpress	adpresses	adpressed
adraw	adraws	adrew
adree	adrees	adreed
adrenalectomise	adrenalectomises	adrenalectomised
adrenalectomize	adrenalectomizes	adrenalectomized
adrenalise	adrenalises	adrenalised
adrenalize	adrenalizes	adrenalized
adrogate	adrogates	adrogated
adsignify	adsignifies	adsignified
adsorb	adsorbs	adsorbed
adsorp	adsorps	adsorped
adstrict	adstricts	adstricted
adulate	adulates	adulated
adulter	adulters	adultered
adulterate	adulterates	adulterated
adulterise	adulterises	adulterised
adulterize	adulterizes	adulterized
adultize	adultizes	adultized
adumbrate	adumbrates	adumbrated
adure	adures	adured
advance	advances	advanced
advantage	advantages	advantaged
advaunce	advaunces	advaunced
advect	advects	advected
advene	advenes	advened
adventure	adventures	adventured
adverbialise	adverbialises	adverbialised
adverbialize	adverbializes	adverbialized
advert	adverts	adverted
advertise	advertises	advertised
advertize	advertizes	advertized
advesperate	advesperates	advesperated
adview	adviews	adviewed
advise	advises	advised
advocate	advocates	advocated
advoke	advokes	advoked
adwesch	adwesches	adwesched
adze	adzes	adzed
aerate	aerates	aerated
aeriate	aeriates	aeriated
aerify	aerifies	aerified
aerobate	aerobates	aerobated
aerobicise	aerobicises	aerobicised
aerobicize	aerobicizes	aerobicized
aerosolise	aerosolises	aerosolised
aerosolize	aerosolizes	aerosolized
aestheticise	aestheticises	aestheticised
aestheticize	aestheticizes	aestheticized
aestivate	aestivates	aestivated
aestuate	aestuates	aestuated
afare	afares	afared
afear	afears	afeared
affamish	affamishes	affamished
affatuate	affatuates	affatuateed
affear	affears	affeared
affect	affects	affected
affection	affections	affectioning
affectionate	affectionates	affectionated
affeeble	affeebles	affeebled
affeer	affeers	affeered
affiance	affiances	affianced
affile	affiles	affiled
affiliate	affiliates	affiliated
affine	affines	affined
affirm	affirms	affirmed
affix	affixes	affixed
afflict	afflicts	afflicted
affoard	affoards	affoarded
affoord	affoords	affoorded
affor	affors	afforred
afforce	afforces	afforced
afford	affords	afforded
afforest	afforests	afforested
afform	afforms	afformed
affranchise	affranchises	affranchised
affranchize	affranchizes	affranchizeed
affray	affrays	affrayed
affreight	affreights	affreighted
affright	affrights	affrighted
affrighten	affrightens	affrightened
affront	affronts	affronted
affuse	affuses	affused
affy	affies	affied
afoord	afoords	afoorded
aftercool	aftercools	aftercooled
aftersee	aftersees	aftersaw
afterthink	afterthinks	afterthought
afterthought	afterthoughts	afterthoughted
againsay	againsays	againsaid
againstand	againstands	againstood
agatize	agatizes	agatized
age	ages	aged
aggerate	aggerates	aggerated
aggest	aggests	aggested
agglomerate	agglomerates	agglomerated
agglutinate	agglutinates	agglutinated
aggrace	aggraces	aggraced
aggrade	aggrades	aggraded
aggrandise	aggrandises	aggrandised
aggrandize	aggrandizes	aggrandized
aggrate	aggrates	aggrated
aggravate	aggravates	aggravated
aggregate	aggregates	aggregated
aggrege	aggreges	aggreged
aggress	aggresses	aggressed
aggrieve	aggrieves	aggrieved
aggro	aggroes	aggroed
aggroup	aggroups	aggrouped
agist	agists	agisted
agitate	agitates	agitated
agnise	agnises	agnised
agnize	agnizes	agnized
agnominate	agnominates	agnominated
agonise	agonises	agonised
agonize	agonizes	agonized
agrace	agraces	agraced
agrarianise	agrarianises	agrarianised
agrarianize	agrarianizes	agrarianized
agree	agrees	agreed
agriculturalise	agriculturalises	agriculturalised
agriculturalize	agriculturalizes	agriculturalized
agriculturise	agriculturises	agriculturised
agriculturize	agriculturizes	agriculturized
agrise	agrises	agrised
agrize	agrizes	agrized
ague	agues	agued
aguise	aguises	aguised
ahh	ahhs	ahhed
ahoy	ahoys	ahoyed
aid	aids	aided
ail	ails	ailed
aim	aims	aimed
air	airs	aired
airbrush	airbrushes	airbrushed
airdash	airdashes	airdashed
airdrop	airdrops	airdropped
airdry	airdries	airdried
airfreight	airfreights	airfreighted
airlift	airlifts	airlifted
airmail	airmails	airmailed
airt	airts	airted
ajar	ajars	ajarred
ake	akes	aked
aken	akens	akenned
akill	akills	akilled
aknow	aknows	aknew
aks	aks	aksed
alarm	alarms	alarmed
alarum	alarums	alarumed
albumenise	albumenises	albumenised
albumenize	albumenizes	albumenized
albuminise	albuminises	albuminised
albuminize	albuminizes	albuminized
alchemise	alchemises	alchemised
alchemize	alchemizes	alchemized
alcoholise	alcoholises	alcoholised
alcoholize	alcoholizes	alcoholized
alegge	alegges	alegged
alert	alerts	alerted
algebraicize	algebraicizes	algebraicized
algebraize	algebraizes	algebraized
algorithmize	algorithmizes	algorithmized
alias	aliases	aliased
alibi	alibies	alibied
alien	aliens	aliened
alienate	alienates	alienated
aliene	alienes	aliened
alieve	alieves	alieved
alight	alights	alit
align	aligns	aligned
aliment	aliments	alimented
aline	alines	alined
aliquot	aliquots	aliquoted
alkalify	alkalifies	alkalified
alkalinise	alkalinises	alkalinised
alkalinize	alkalinizes	alkalinized
alkalize	alkalizes	alkalized
alkylate	alkylates	alkylated
allay	allays	allayed
allect	allects	allected
alledg	alledges	alledged
alledge	alledges	alledged
allegate	allegates	allegated
allege	alleges	alleged
allegorise	allegorises	allegorised
allegorize	allegorizes	allegorized
allergise	allergises	allergised
alleviate	alleviates	alleviated
alliance	alliances	allianced
allide	allides	allided
alligate	alligates	alligated
alligator	alligators	alligatored
allineate	allineates	allineated
alliterate	alliterates	alliterated
alliterize	alliterizes	alliterized
allocate	allocates	allocated
allocute	allocutes	allocuted
allomother	allomothers	allomothered
allonge	allonges	allonged
alloo	alloos	allooed
allot	allots	allotted
allotropize	allotropizes	allotropized
allow	allows	allowed
allowance	allowances	allowanced
alloy	alloys	alloyed
allude	alludes	alluded
allure	allures	allured
ally	allies	allied
alphabet	alphabets	alphabeted
alphabetise	alphabetises	alphabetised
alphabetize	alphabetizes	alphabetized
alter	alters	altered
altercate	altercates	altercated
alternate	alternates	alternated
altre	altres	altred
alum	alums	alumed
aluminise	aluminises	aluminised
aluminize	aluminizes	aluminized
aluminumize	aluminumizes	aluminumized
amain	amains	amained
amalgam	amalgams	amalgamed
amalgamate	amalgamates	amalgamated
amalgamize	amalgamizes	amalgamized
amanse	amanses	amansed
amass	amasses	amassed
amate	amates	amated
amay	amays	amayed
amaze	amazes	amazed
ambass	ambasses	ambassed
amber	ambers	ambered
ambiguate	ambiguates	ambiguated
ambition	ambitions	ambitioned
amble	ambles	ambled
ambulate	ambulates	ambulated
ambuscade	ambuscades	ambuscaded
ambush	ambushes	ambushed
amel	amels	ameled
ameliorate	ameliorates	ameliorated
amen	amens	amened
amend	amends	amended
amenuse	amenuses	amenused
amerce	amerces	amerced
amese	ameses	amesed
aminate	aminates	aminated
amind	aminds	aminded
amit	amits	amitted
ammo	ammos	ammoed
ammoniate	ammoniates	ammoniated
ammonify	ammonifies	ammonified
amnesty	amnesties	amnestied
amortise	amortises	amortised
amortize	amortizes	amortized
amount	amounts	amounted
amove	amoves	amoved
amp	amps	amped
ampliate	ampliates	ampliated
amplificate	amplificates	amplificated
amplify	amplifies	amplified
amputate	amputates	amputated
amuse	amuses	amused
anabaptize	anabaptizes	anabaptized
anachronize	anachronizes	anachronized
anaesthetise	anaesthetises	anaesthetised
anaesthetize	anaesthetizes	anaesthetized
anagram	anagrams	anagrammed
anagrammatise	anagrammatises	anagrammatised
anagrammatize	anagrammatizes	anagrammatized
analogise	analogises	analogised
analogize	analogizes	analogized
analyse	analyses	analysed
analyze	analyzes	analyzed
anarchize	anarchizes	anarchized
anastomose	anastomoses	anastomosed
anathematise	anathematises	anathematised
anathematize	anathematizes	anathematized
anatomise	anatomises	anatomised
anatomize	anatomizes	anatomized
anchor	anchors	anchored
anchour	anchours	anchoured
anchylose	anchyloses	anchylosed
and	ands	anded
androgenise	androgenises	androgenised
androgenize	androgenizes	androgenized
androgynise	androgynises	androgynised
androgynize	androgynizes	androgynized
aneal	aneals	anealed
anear	anears	aneared
anele	aneles	aneled
anesthetize	anesthetizes	anesthetized
angel	angels	angeled
angelify	angelifies	angelified
angelise	angelises	angelised
angelize	angelizes	angelized
anger	angers	angered
angle	angles	angled
anglicise	anglicises	anglicised
anglicize	anglicizes	anglicized
angst	angsts	angsted
anguish	anguishes	anguished
angulate	angulates	angulated
anhele	anheles	anheled
anhydrate	anhydrates	anhydrated
animadvert	animadverts	animadverted
animalise	animalises	animalised
animalize	animalizes	animalized
animate	animates	animated
ankle	ankles	ankled
ankylose	ankyloses	ankylosed
annalise	annalises	annalised
annalize	annalizes	annalized
anneal	anneals	annealed
annex	annexes	annexed
annexe	annexes	annexed
annihilate	annihilates	annihilated
annoint	annoints	annointed
annotate	annotates	annotated
announce	announces	announced
annoy	annoys	annoyed
annualise	annualises	annualised
annualize	annualizes	annualized
annul	annuls	annulled
annumerate	annumerates	annumerated
annunciate	annunciates	annunciated
anodise	anodises	anodised
anodize	anodizes	anodized
anoil	anoils	anoiled
anoint	anoints	anointed
anonymise	anonymises	anonymised
anonymize	anonymizes	anonymized
anorn	anorns	anorned
answer	answers	answered
answere	answeres	answered
ant	ants	anted
antagonise	antagonises	antagonised
antagonize	antagonizes	antagonized
ante	antes	anted
antecede	antecedes	anteceded
antedate	antedates	antedated
antevert	anteverts	anteverted
antevolate	antevolates	antevolated
anthem	anthems	anthemed
anthologise	anthologises	anthologised
anthologize	anthologizes	anthologized
anthropise	anthropises	anthropised
anthropize	anthropizes	anthropized
anthropomorphise	anthropomorphises	anthropomorphised
anthropomorphize	anthropomorphizes	anthropomorphized
antialias	antialiases	antialiased
antic	antics	anticked
anticipate	anticipates	anticipated
anticize	anticizes	anticized
anticorrelate	anticorrelates	anticorrelated
anticross	anticrosses	anticrossed
antidote	antidotes	antidoted
antifoul	antifouls	antifouled
antioxidise	antioxidises	antioxidised
antioxidize	antioxidizes	antioxidized
antipathise	antipathises	antipathised
antipathize	antipathizes	antipathized
antiquarianise	antiquarianises	antiquarianised
antiquarianize	antiquarianizes	antiquarianized
antiquate	antiquates	antiquated
antique	antiques	antiqued
antisepticise	antisepticises	antisepticised
antisepticize	antisepticizes	antisepticized
antisymmetrise	antisymmetrises	antisymmetrised
antisymmetrize	antisymmetrizes	antisymmetrized
antiterminate	antiterminates	antiterminated
antithesise	antithesises	antithesised
antithesize	antithesizes	antithesized
anxt	anxts	anxted
anæsthetize	anæsthetizes	anæsthetized
apahack	apahacks	apahacked
apair	apairs	apaired
apartheidize	apartheidizes	apartheidized
apay	apays	apaid
ape	apes	aped
aphetize	aphetizes	aphetized
aphorise	aphorises	aphorised
aphorize	aphorizes	aphorized
apocopate	apocopates	apocopated
apodize	apodizes	apodized
